matrixName,Edge Cut,cut size,cut cost,imbalance
G51.mtx,0 s  5 ms,1465,1462.500000,0.000000
bcspwr10.mtx,0 s  7 ms,36,34.000000,0.000000
bcspwr07.mtx,0 s  3 ms,13,13.000000,0.000000
dwt_992.mtx,0 s  2 ms,192,192.000000,0.000000
jagmesh7.mtx,0 s  2 ms,52,52.000000,0.000000
bcspwr04.mtx,0 s  2 ms,13,2.000000,0.000000
article.mtx,0 s  1 ms,9,9.000000,0.045455
bcspwr09.mtx,0 s  3 ms,15,16.000000,0.000290
bcspwr01.mtx,0 s  1 ms,3,-0.500000,0.012821
GD97_b.mtx,0 s  1 ms,29,29.000000,0.010638
bcspwr02.mtx,0 s  1 ms,6,3.000000,0.010204
bcspwr05.mtx,0 s  1 ms,10,10.000000,0.001129
bcspwr06.mtx,0 s  2 ms,7,7.000000,0.000000
Pd.mtx,0 s  6 ms,-1,-50.500000,0.000062
bcspwr08.mtx,0 s  2 ms,14,15.000000,0.000000
Erdos971.mtx,0 s  2 ms,107,107.000000,0.000000
bcspwr03.mtx,0 s  1 ms,12,12.000000,0.000000
