matrixName,Edge Cut,cut size,cut cost,imbalance
McRae/ecology1.mtx,0.291000 s,1048,1048.000000,0.000000
McRae/ecology2.mtx,0.351000 s,1040,1040.000000,0.000001
Rothberg/3dtube.mtx,0.070000 s,36444,36444.000000,0.000000
Rothberg/struct4.mtx,0.012000 s,8956,8956.000000,0.000000
Rothberg/gearbox.mtx,0.199000 s,1193,1193.000000,0.000000
Rothberg/cfd2.mtx,0.104000 s,10031,10031.000000,0.000000
Rothberg/struct3.mtx,0.047000 s,2083,2083.000000,0.000000
Rothberg/cfd1.mtx,0.067000 s,6503,6503.000000,0.000000
Rommes/M80PI_n.mtx,0.003000 s,0,0.000000,0.000000
Rommes/S20PI_n1.mtx,0.001000 s,0,0.000000,0.000000
Rommes/S20PI_n.mtx,0.001000 s,0,0.000000,0.000000
Rommes/M40PI_n.mtx,0.001000 s,0,0.000000,0.000000
Rommes/S80PI_n1.mtx,0.002000 s,0,0.000000,0.000000
Rommes/M10PI_n.mtx,0.001000 s,0,0.000000,0.000000
Rommes/M20PI_n1.mtx,0.001000 s,0,0.000000,0.000000
Rommes/S80PI_n.mtx,0.002000 s,0,0.000000,0.000000
Rommes/M40PI_n1.mtx,0.001000 s,0,0.000000,0.000000
Rommes/S10PI_n.mtx,0.001000 s,0,0.000000,0.000000
Rommes/S40PI_n.mtx,0.001000 s,0,0.000000,0.000000
Rommes/S10PI_n1.mtx,0.001000 s,0,0.000000,0.000000
Rommes/M80PI_n1.mtx,0.001000 s,0,0.000000,0.000000
Rommes/M10PI_n1.mtx,0.001000 s,0,0.000000,0.000000
Rommes/M20PI_n.mtx,0.001000 s,0,0.000000,0.000000
Rommes/S40PI_n1.mtx,0.001000 s,0,0.000000,0.000000
JGD_Trefethen/Trefethen_500.mtx,0.001000 s,499,499.000000,0.000000
JGD_Trefethen/Trefethen_20000b.mtx,0.022000 s,19998,19998.000000,0.000025
JGD_Trefethen/Trefethen_200.mtx,0.001000 s,199,199.000000,0.000000
JGD_Trefethen/Trefethen_300.mtx,0.001000 s,299,299.000000,0.000000
JGD_Trefethen/Trefethen_20b.mtx,0.001000 s,18,18.000000,0.026316
JGD_Trefethen/Trefethen_20.mtx,0.001000 s,19,19.000000,0.000000
JGD_Trefethen/Trefethen_700.mtx,0.001000 s,699,699.000000,0.000000
JGD_Trefethen/Trefethen_20000.mtx,0.022000 s,19999,19999.000000,0.000000
JGD_Trefethen/Trefethen_2000.mtx,0.003000 s,1999,1999.000000,0.000000
JGD_Trefethen/Trefethen_200b.mtx,0.001000 s,198,198.000000,0.002513
JGD_Trefethen/Trefethen_150.mtx,0.001000 s,149,149.000000,0.000000
Chen/pkustk01.mtx,0.025000 s,7407,7407.000000,0.000000
Chen/pkustk03.mtx,0.063000 s,5184,5184.000000,0.000000
Chen/pkustk11.mtx,0.103000 s,39204,39204.000000,0.000000
Chen/pkustk10.mtx,0.083000 s,24948,24948.000000,0.000000
Chen/pkustk12.mtx,0.171000 s,22305,22305.000000,0.000005
Chen/pkustk09.mtx,0.033000 s,4248,4248.000000,0.000000
Chen/pkustk05.mtx,0.041000 s,10980,10980.000000,0.000000
Chen/pkustk02.mtx,0.017000 s,2952,2952.000000,0.000000
Chen/pkustk14.mtx,0.292000 s,13887,13887.000000,0.000000
Chen/pkustk06.mtx,0.055000 s,13176,13176.000000,0.000000
Chen/pkustk08.mtx,0.078000 s,80300,80300.000000,0.000023
Chen/pkustk13.mtx,0.167000 s,33221,33221.000000,0.000005
Chen/pkustk04.mtx,0.096000 s,14274,14274.000000,0.000000
Chen/pkustk07.mtx,0.059000 s,66915,66915.000000,0.000000
HB/bcsstm03.mtx,0.001000 s,0,0.000000,0.000000
HB/can_161.mtx,0.001000 s,64,64.000000,0.003106
HB/plat1919.mtx,0.004000 s,183,183.000000,0.000261
HB/bcsstk19.mtx,0.002000 s,10,10.000000,0.000612
HB/lund_a.mtx,0.001000 s,111,111.000000,0.003401
HB/bcsstk30.mtx,0.049000 s,10080,10080.000000,0.000000
HB/bcsstk17.mtx,0.014000 s,3910,3910.000000,0.000000
HB/can_24.mtx,0.001000 s,10,10.000000,0.000000
HB/dwt_1242.mtx,0.002000 s,65,65.000000,0.000000
HB/dwt_869.mtx,0.001000 s,43,43.000000,0.000575
HB/jagmesh1.mtx,0.001000 s,50,50.000000,0.000000
HB/lshp1882.mtx,0.002000 s,89,89.000000,0.000000
HB/bcspwr10.mtx,0.004000 s,47,47.000000,0.000000
HB/nos4.mtx,0.001000 s,12,12.000000,0.000000
HB/bcsstm12.mtx,0.002000 s,141,141.000000,0.000339
HB/jagmesh6.mtx,0.002000 s,17,17.000000,0.000363
HB/jagmesh4.mtx,0.002000 s,38,38.000000,0.000000
HB/dwt_1007.mtx,0.001000 s,55,55.000000,0.000497
HB/dwt_512.mtx,0.001000 s,1,1.000000,0.000000
HB/bcsstk07.mtx,0.001000 s,108,108.000000,0.000000
HB/bcsstk03.mtx,0.001000 s,0,0.000000,0.000000
HB/lshp_778.mtx,0.001000 s,57,57.000000,0.000000
HB/lshp3025.mtx,0.003000 s,117,117.000000,0.000165
HB/dwt_59.mtx,0.001000 s,4,4.000000,0.008475
HB/bcspwr07.mtx,0.002000 s,13,13.000000,0.000000
HB/man_5976.mtx,0.007000 s,2516,2516.000000,0.000000
HB/can_256.mtx,0.001000 s,147,147.000000,0.000000
HB/orsreg_1.mtx,0.002000 s,125,121.000000,0.000227
HB/bcsstm21.mtx,0.001000 s,0,0.000000,0.000000
HB/dwt_992.mtx,0.002000 s,192,192.000000,0.000000
HB/lshp_406.mtx,0.001000 s,41,41.000000,0.000000
HB/bcsstk28.mtx,0.006000 s,1696,1696.000000,0.000000
HB/dwt_492.mtx,0.001000 s,4,4.000000,0.000000
HB/jagmesh7.mtx,0.001000 s,52,52.000000,0.000000
HB/bcspwr04.mtx,0.001000 s,17,17.000000,0.000000
HB/can_715.mtx,0.002000 s,150,150.000000,0.000699
HB/bcsstk11.mtx,0.002000 s,315,315.000000,0.000339
HB/lock_700.mtx,0.002000 s,690,690.000000,0.000000
HB/662_bus.mtx,0.001000 s,17,17.000000,0.000000
HB/bcsstk02.mtx,0.001000 s,1089,1089.000000,0.000000
HB/lshp2233.mtx,0.002000 s,100,100.000000,0.000224
HB/can_838.mtx,0.002000 s,196,196.000000,0.000000
HB/dwt_607.mtx,0.002000 s,85,85.000000,0.000824
HB/lock1074.mtx,0.002000 s,783,783.000000,0.000000
HB/cegb3024.mtx,0.004000 s,408,408.000000,0.000000
HB/bcspwr09.mtx,0.002000 s,16,16.000000,0.000290
HB/dwt_878.mtx,0.001000 s,50,50.000000,0.000000
HB/bcsstk31.mtx,0.040000 s,5292,5292.000000,0.000000
HB/bcspwr01.mtx,0.001000 s,4,4.000000,0.012821
HB/bcsstk22.mtx,0.001000 s,7,7.000000,0.000000
HB/lshp_265.mtx,0.001000 s,32,32.000000,0.001887
HB/steam2.mtx,0.001000 s,240,240.000000,0.000000
HB/bcsstm07.mtx,0.001000 s,108,108.000000,0.000000
HB/bcsstk20.mtx,0.001000 s,11,11.000000,0.001031
HB/saylr3.mtx,0.001000 s,54,54.000000,0.000000
HB/orsirr_1.mtx,0.002000 s,126,122.000000,0.000000
HB/can_61.mtx,0.001000 s,21,21.000000,0.008197
HB/steam3.mtx,0.001000 s,16,16.000000,0.000000
HB/dwt_307.mtx,0.001000 s,61,61.000000,0.001629
HB/cegb3306.mtx,0.003000 s,792,792.000000,0.000000
HB/dwt_234.mtx,0.001000 s,0,0.000000,0.000000
HB/dwt_419.mtx,0.001000 s,47,47.000000,0.001193
HB/blckhole.mtx,0.002000 s,130,130.000000,0.000000
HB/bcsstk01.mtx,0.001000 s,24,24.000000,0.000000
HB/lshp1009.mtx,0.002000 s,65,65.000000,0.000496
HB/685_bus.mtx,0.001000 s,17,17.000000,0.000730
HB/plat362.mtx,0.001000 s,122,122.000000,0.000000
HB/ash85.mtx,0.001000 s,13,13.000000,0.005882
HB/bcspwr02.mtx,0.001000 s,5,5.000000,0.010204
HB/bcsstk23.mtx,0.004000 s,751,751.000000,0.000000
HB/lock2232.mtx,0.003000 s,504,504.000000,0.000000
HB/nos6.mtx,0.002000 s,32,32.000000,0.000741
HB/bcsstk25.mtx,0.014000 s,721,721.000000,0.000032
HB/494_bus.mtx,0.002000 s,11,11.000000,0.000000
HB/bcsstm27.mtx,0.002000 s,573,573.000000,0.000000
HB/nos2.mtx,0.001000 s,4,4.000000,0.000522
HB/ash292.mtx,0.001000 s,21,21.000000,0.000000
HB/bcsstm19.mtx,0.001000 s,0,0.000000,0.000612
HB/can_292.mtx,0.001000 s,85,85.000000,0.000000
HB/bcsstm23.mtx,0.001000 s,0,0.000000,0.000000
HB/dwt_2680.mtx,0.003000 s,85,85.000000,0.000000
HB/bcsstk33.mtx,0.018000 s,13109,13109.000000,0.000000
HB/sstmodel.mtx,0.003000 s,110,110.000000,0.000149
HB/young2c.mtx,0.001000 s,31,31.000000,0.000595
HB/dwt_1005.mtx,0.002000 s,87,87.000000,0.000498
HB/nos7.mtx,0.001000 s,100,100.000000,0.000686
HB/dwt_87.mtx,0.001000 s,12,12.000000,0.005747
HB/bcsstm06.mtx,0.001000 s,0,0.000000,0.000000
HB/bcsstk06.mtx,0.001000 s,108,108.000000,0.000000
HB/bcsstm20.mtx,0.001000 s,0,0.000000,0.001031
HB/saylr4.mtx,0.003000 s,98,98.000000,0.000000
HB/orsirr_2.mtx,0.002000 s,96,87.000000,0.000000
HB/jagmesh8.mtx,0.002000 s,57,57.000000,0.000438
HB/eris1176.mtx,0.002000 s,28,28.000000,0.000000
HB/bcsstm09.mtx,0.001000 s,0,0.000000,0.000462
HB/lock3491.mtx,0.004000 s,823,823.000000,0.000143
HB/bcsstm13.mtx,0.003000 s,866,866.000000,0.000250
HB/bcsstk13.mtx,0.005000 s,2391,2391.000000,0.000250
HB/dwt_221.mtx,0.002000 s,19,19.000000,0.002262
HB/dwt_918.mtx,0.002000 s,62,62.000000,0.000000
HB/dwt_162.mtx,0.001000 s,18,18.000000,0.000000
HB/plskz362.mtx,0.002000 s,8,-418.500000,0.000000
HB/dwt_592.mtx,0.001000 s,68,68.000000,0.000000
HB/can_187.mtx,0.001000 s,33,33.000000,0.002674
HB/can_96.mtx,0.001000 s,32,32.000000,0.000000
HB/can_73.mtx,0.001000 s,22,22.000000,0.006849
HB/hor_131.mtx,0.001000 s,137,137.000000,0.000000
HB/bcsstm01.mtx,0.001000 s,0,12.000000,0.000000
HB/lshp1561.mtx,0.002000 s,81,81.000000,0.000320
HB/bcsstk29.mtx,0.014000 s,2887,2887.000000,0.000000
HB/nos5.mtx,0.002000 s,226,226.000000,0.000000
HB/nos3.mtx,0.002000 s,296,296.000000,0.000000
HB/bcsstk05.mtx,0.001000 s,90,90.000000,0.003268
HB/can_144.mtx,0.001000 s,22,22.000000,0.000000
HB/bcspwr05.mtx,0.001000 s,10,10.000000,0.001129
HB/plsk1919.mtx,0.023000 s,54,2130.000000,0.000261
HB/can_634.mtx,0.002000 s,182,182.000000,0.000000
HB/dwt_503.mtx,0.001000 s,119,119.000000,0.000994
HB/lshp3466.mtx,0.003000 s,155,155.000000,0.000000
HB/bcsstm05.mtx,0.001000 s,0,0.000000,0.003268
HB/young4c.mtx,0.001000 s,31,31.000000,0.000595
HB/bcspwr06.mtx,0.002000 s,7,7.000000,0.000000
HB/jagmesh3.mtx,0.002000 s,65,65.000000,0.000459
HB/1138_bus.mtx,0.002000 s,24,24.000000,0.000000
HB/jagmesh2.mtx,0.002000 s,65,65.000000,0.000496
HB/jagmesh9.mtx,0.002000 s,41,41.000000,0.000371
HB/bcsstk24.mtx,0.005000 s,2076,2076.000000,0.000000
HB/dwt_209.mtx,0.001000 s,52,52.000000,0.002392
HB/bcsstk09.mtx,0.002000 s,374,374.000000,0.000462
HB/bcsstm26.mtx,0.001000 s,0,0.000000,0.000000
HB/cegb2802.mtx,0.006000 s,3186,3186.000000,0.000000
HB/nos1.mtx,0.001000 s,4,4.000000,0.002110
HB/bcsstk27.mtx,0.002000 s,573,573.000000,0.000000
HB/bcsstm04.mtx,0.001000 s,0,0.000000,0.000000
HB/bcsstk10.mtx,0.002000 s,153,153.000000,0.000000
HB/bcsstk26.mtx,0.002000 s,272,272.000000,0.000000
HB/bcsstm22.mtx,0.001000 s,0,0.000000,0.000000
HB/bcsstm08.mtx,0.001000 s,0,0.000000,0.000000
HB/dwt_193.mtx,0.001000 s,139,139.000000,0.002591
HB/dwt_245.mtx,0.001000 s,21,21.000000,0.002041
