matrixName;Edge Cut;cut size;cut cost;imbalance
McRae/ecology1.mtx;1.021000 s;1597;1597.000000;0.000000
McRae/ecology2.mtx;1.034000 s;1531;1531.000000;0.000001
Rothberg/3dtube.mtx;0.073000 s;4332;36446.000000;0.000000
Rothberg/struct4.mtx;0.022000 s;8948;8948.000000;0.000000
Rothberg/gearbox.mtx;0.235000 s;1066;5576.000000;0.000000
Rothberg/cfd2.mtx;0.307000 s;10617;10617.000000;0.000000
Rothberg/struct3.mtx;0.081000 s;1453;2370.000000;0.000000
Rothberg/cfd1.mtx;0.180000 s;8202;8202.000000;0.000000
Rommes/M80PI_n.mtx;0.002000 s;0;0.000000;0.500000
Rommes/S20PI_n1.mtx;0.002000 s;0;0.000000;0.500000
Rommes/S20PI_n.mtx;0.001000 s;0;0.000000;0.500000
Rommes/M40PI_n.mtx;0.001000 s;0;0.000000;0.500000
Rommes/S80PI_n1.mtx;0.001000 s;0;0.000000;0.500000
Rommes/M10PI_n.mtx;0.001000 s;0;0.000000;0.500000
Rommes/M20PI_n1.mtx;0.001000 s;0;0.000000;0.500000
Rommes/S80PI_n.mtx;0.001000 s;0;0.000000;0.500000
Rommes/M40PI_n1.mtx;0.001000 s;0;0.000000;0.500000
Rommes/S10PI_n.mtx;0.001000 s;0;0.000000;0.500000
Rommes/S40PI_n.mtx;0.001000 s;0;0.000000;0.500000
Rommes/S10PI_n1.mtx;0.001000 s;0;0.000000;0.500000
Rommes/M80PI_n1.mtx;0.001000 s;0;0.000000;0.500000
Rommes/M10PI_n1.mtx;0.001000 s;0;0.000000;0.500000
Rommes/M20PI_n.mtx;0.001000 s;0;0.000000;0.500000
Rommes/S40PI_n1.mtx;0.001000 s;0;0.000000;0.500000
JGD_Trefethen/Trefethen_500.mtx;0.003000 s;499;499.000000;0.000000
JGD_Trefethen/Trefethen_20000b.mtx;0.082000 s;19998;19998.000000;0.000025
JGD_Trefethen/Trefethen_200.mtx;0.002000 s;199;199.000000;0.000000
JGD_Trefethen/Trefethen_300.mtx;0.002000 s;299;299.000000;0.000000
JGD_Trefethen/Trefethen_20b.mtx;0.001000 s;18;18.000000;0.026316
JGD_Trefethen/Trefethen_20.mtx;0.001000 s;19;19.000000;0.000000
JGD_Trefethen/Trefethen_700.mtx;0.003000 s;699;699.000000;0.000000
JGD_Trefethen/Trefethen_20000.mtx;0.085000 s;19999;19999.000000;0.000000
JGD_Trefethen/Trefethen_2000.mtx;0.007000 s;1999;1999.000000;0.000000
JGD_Trefethen/Trefethen_200b.mtx;0.001000 s;204;204.000000;0.002513
JGD_Trefethen/Trefethen_150.mtx;0.001000 s;149;149.000000;0.000000
Chen/pkustk01.mtx;0.018000 s;137;4851.000000;0.000000
Chen/pkustk03.mtx;0.054000 s;156;5616.000000;0.000000
Chen/pkustk11.mtx;0.086000 s;747;26892.000000;0.000000
Chen/pkustk10.mtx;0.074000 s;662;23832.000000;0.000000
Chen/pkustk12.mtx;0.130000 s;1501;24755.000000;0.000016
Chen/pkustk09.mtx;0.029000 s;116;4176.000000;0.000000
Chen/pkustk05.mtx;0.035000 s;308;11088.000000;0.000000
Chen/pkustk02.mtx;0.013000 s;105;5328.000000;0.000000
Chen/pkustk14.mtx;0.253000 s;410;14166.000000;0.000020
Chen/pkustk06.mtx;0.043000 s;354;12744.000000;0.000000
Chen/pkustk08.mtx;0.063000 s;8116;82116.000000;0.000068
Chen/pkustk13.mtx;0.152000 s;3401;30618.000000;0.000016
Chen/pkustk04.mtx;0.068000 s;628;13689.000000;0.000000
Chen/pkustk07.mtx;0.046000 s;6554;67140.000000;0.000000
HB/bcsstm03.mtx;0.001000 s;0;0.000000;0.500000
HB/can_161.mtx;0.001000 s;50;50.000000;0.003106
HB/plat1919.mtx;0.004000 s;261;261.000000;0.000261
HB/bcsstk19.mtx;0.001000 s;3;10.000000;0.000612
HB/lund_a.mtx;0.001000 s;26;130.000000;0.003401
HB/bcsstk30.mtx;0.048000 s;855;9360.000000;0.000000
HB/bcsstk17.mtx;0.014000 s;379;3214.000000;0.000000
HB/can_24.mtx;0.002000 s;10;10.000000;0.000000
HB/dwt_1242.mtx;0.003000 s;91;91.000000;0.000000
HB/dwt_869.mtx;0.002000 s;37;40.000000;0.000575
HB/jagmesh1.mtx;0.002000 s;50;50.000000;0.000000
HB/lshp1882.mtx;0.003000 s;91;91.000000;0.000000
