matrixName,Edge Cut,cut size,cut cost,imbalance
G51.mtx,0.007000 s,1425,1425.000000,0.000000
bcspwr10.mtx,0.008000 s,45,45.000000,0.000000
bcspwr07.mtx,0.003000 s,7,7.000000,0.000000
dwt_992.mtx,0.002000 s,47,188.000000,0.000000
jagmesh7.mtx,0.003000 s,27,27.000000,0.000000
bcspwr04.mtx,0.001000 s,15,15.000000,0.000000
article.mtx,0.001000 s,2,10.000000,0.045455
bcspwr09.mtx,0.003000 s,24,25.000000,0.000290
bcspwr01.mtx,0.001000 s,4,4.000000,0.012821
GD97_b.mtx,0.001000 s,27,29.000000,0.010638
bcspwr02.mtx,0.001000 s,6,6.000000,0.010204
bcspwr05.mtx,0.001000 s,19,19.000000,0.001129
bcspwr06.mtx,0.003000 s,7,7.000000,0.000000
Pd.mtx,0.003000 s,20,138.500000,0.289754
bcspwr08.mtx,0.002000 s,10,10.000000,0.000000
Erdos971.mtx,0.002000 s,100,103.000000,0.000000
bcspwr03.mtx,0.001000 s,10,10.000000,0.000000
