matrixName,Edge Cut,cut size,cut cost,imbalance
598a.mtx,0.254000 s,2459,2459.000000,0.000005
coAuthorsDBLP.mtx,0.781000 s,48290,50533.000000,0.000002
delaunay_n10.mtx,0.004000 s,73,73.000000,0.000000
coAuthorsCiteseer.mtx,0.411000 s,24431,26612.000000,0.000000
cti.mtx,0.030000 s,366,366.000000,0.000000
cs4.mtx,0.030000 s,426,426.000000,0.000022
coPapersDBLP.mtx,2.087000 s,231505,563983.000000,0.000000
channel-500x100x100-b050.mtx,11.827000 s,57854,57854.000000,0.000000
144.mtx,0.351000 s,6730,6730.000000,0.000003
caidaRouterLevel.mtx,0.419000 s,17755,17880.000000,0.000000
data.mtx,0.009000 s,219,219.000000,0.000175
chesapeake.mtx,0.002000 s,45,48.000000,0.012821
coPapersCiteseer.mtx,1.168000 s,70243,309472.000000,0.000000
adaptive.mtx,7.453000 s,4825,4825.000000,0.000000
citationCiteseer.mtx,1.013000 s,33868,34383.000000,0.000002
auto.mtx,1.241000 s,16623,16623.000000,0.000001
