matrixName;n;nnz;Search Modules;Edge Cut;cut cost;imbalance
Rothberg/3dtube.mtx;15910;363750;0.052000;0.070000;36446.000000;0.000000
Rothberg/gearbox.mtx;55320;1352146;0.174000;0.231000;5576.000000;0.000000
Rothberg/struct3.mtx;38504;604522;0.049000;0.079000;2370.000000;0.000000
Chen/pkustk01.mtx;3741;23992;0.014000;0.016000;4851.000000;0.000000
Chen/pkustk03.mtx;10557;76406;0.047000;0.053000;5616.000000;0.000000
Chen/pkustk11.mtx;14636;130326;0.073000;0.084000;26892.000000;0.000000
Chen/pkustk10.mtx;13447;106266;0.062000;0.070000;23832.000000;0.000000
Chen/pkustk12.mtx;14914;261952;0.114000;0.129000;24755.000000;0.000016
Chen/pkustk09.mtx;5661;38336;0.023000;0.027000;4176.000000;0.000000
Chen/pkustk05.mtx;6195;55072;0.030000;0.034000;11088.000000;0.000000
Chen/pkustk02.mtx;1252;10326;0.011000;0.012000;5328.000000;0.000000
Chen/pkustk14.mtx;34135;865262;0.207000;0.248000;14166.000000;0.000020
Chen/pkustk06.mtx;7195;64256;0.036000;0.041000;12744.000000;0.000000
Chen/pkustk08.mtx;6652;292210;0.046000;0.062000;82116.000000;0.000068
Chen/pkustk13.mtx;31873;713858;0.113000;0.149000;30618.000000;0.000016
Chen/pkustk04.mtx;8792;109560;0.061000;0.068000;13689.000000;0.000000
Chen/pkustk07.mtx;4988;214614;0.035000;0.046000;67140.000000;0.000000
HB/bcsstk19.mtx;651;3464;0.001000;0.002000;10.000000;0.000612
HB/lund_a.mtx;69;402;0.001000;0.001000;130.000000;0.003401
HB/bcsstk30.mtx;9162;217382;0.037000;0.047000;9360.000000;0.000000
HB/bcsstk17.mtx;4684;80414;0.009000;0.013000;3214.000000;0.000000
HB/dwt_1242.mtx;1238;9154;0.001000;0.003000;91.000000;0.000000
HB/dwt_869.mtx;857;6320;0.001000;0.002000;40.000000;0.000575
HB/bcspwr10.mtx;5226;16220;0.003000;0.006000;45.000000;0.000000
HB/bcsstm12.mtx;987;6846;0.001000;0.002000;208.000000;0.000339
HB/dwt_512.mtx;468;2940;0.001000;0.001000;29.000000;0.000000
HB/bcsstk07.mtx;345;5100;0.001000;0.002000;108.000000;0.000000
HB/bcsstk03.mtx;58;116;0.001000;0.001000;0.000000;0.000000
HB/lshp_778.mtx;0;4494;0.001000;0.002000;57.000000;0.000000
HB/bcspwr07.mtx;1489;3920;0.001000;0.002000;7.000000;0.000000
HB/man_5976.mtx;2400;32532;0.004000;0.007000;3328.000000;0.000000
HB/can_256.mtx;252;2600;0.001000;0.001000;146.000000;0.000000
HB/dwt_992.mtx;497;3698;0.001000;0.002000;188.000000;0.000000
HB/bcsstk28.mtx;775;6368;0.003000;0.004000;3395.000000;0.000227
HB/bcspwr04.mtx;250;1208;0.002000;0.003000;15.000000;0.000000
HB/can_715.mtx;714;5948;0.001000;0.002000;145.000000;0.000699
HB/bcsstk11.mtx;774;8914;0.002000;0.003000;278.000000;0.000339
HB/lock_700.mtx;178;1274;0.001000;0.001000;672.000000;0.001429
HB/662_bus.mtx;650;1776;0.001000;0.002000;17.000000;0.000000
HB/bcsstk02.mtx;2;2;0.001000;0.001000;65.000000;0.484848
HB/lock1074.mtx;172;1236;0.001000;0.002000;792.000000;0.002793
HB/cegb3024.mtx;1420;16894;0.002000;0.004000;452.000000;0.002646
HB/bcspwr09.mtx;1594;4492;0.001000;0.002000;25.000000;0.000290
HB/bcsstk31.mtx;17348;287384;0.034000;0.052000;5005.000000;0.000000
HB/bcspwr01.mtx;38;88;0.001000;0.001000;4.000000;0.012821
HB/bcsstk22.mtx;135;546;0.001000;0.001000;7.000000;0.000000
HB/steam2.mtx;151;718;0.001000;0.001000;336.000000;0.000000
HB/bcsstm07.mtx;325;3744;0.001000;0.002000;108.000000;0.000000
HB/bcsstk20.mtx;273;616;0.001000;0.001000;16.000000;0.001031
HB/saylr3.mtx;682;2746;0.001000;0.002000;43.000000;0.000000
HB/can_61.mtx;52;388;0.001000;0.001000;22.000000;0.008197
HB/steam3.mtx;21;42;0.001000;0.001000;16.000000;0.000000
HB/cegb3306.mtx;539;1550;0.002000;0.002000;936.000000;0.000907
HB/dwt_419.mtx;403;3000;0.001000;0.001000;47.000000;0.001193
HB/blckhole.mtx;2122;12740;0.001000;0.003000;137.000000;0.000000
HB/685_bus.mtx;673;2516;0.001000;0.002000;14.000000;0.000730
HB/bcspwr02.mtx;44;108;0.001000;0.001000;6.000000;0.010204
HB/bcsstk23.mtx;2930;35256;0.003000;0.006000;679.000000;0.000000
HB/lock2232.mtx;370;1872;0.002000;0.002000;504.000000;0.000000
HB/bcsstk25.mtx;13176;161774;0.011000;0.024000;1280.000000;0.000032
HB/494_bus.mtx;453;1082;0.001000;0.001000;10.000000;0.000000
HB/bcsstm27.mtx;223;1530;0.001000;0.002000;1064.000000;0.000000
HB/nos2.mtx;639;1274;0.001000;0.001000;4.000000;0.000522
HB/ash292.mtx;290;1898;0.001000;0.001000;21.000000;0.000000
HB/can_292.mtx;276;1928;0.001000;0.001000;85.000000;0.000000
HB/dwt_2680.mtx;2678;22326;0.002000;0.004000;87.000000;0.000000
HB/bcsstk33.mtx;4301;160502;0.013000;0.022000;10249.000000;0.000000
HB/sstmodel.mtx;2722;19358;0.002000;0.004000;90.000000;0.000149
HB/bcsstk06.mtx;345;5100;0.001000;0.002000;108.000000;0.000000
HB/eris1176.mtx;904;3450;0.001000;0.002000;30.000000;0.000000
HB/lock3491.mtx;628;4710;0.003000;0.004000;1515.000000;0.000143
HB/bcsstm13.mtx;620;18150;0.001000;0.002000;0.000000;0.175986
HB/bcsstk13.mtx;1573;44594;0.003000;0.007000;2412.000000;0.000250
HB/dwt_162.mtx;159;994;0.001000;0.001000;18.000000;0.000000
HB/bcsstk29.mtx;9119;297312;0.019000;0.031000;3184.000000;0.000000
HB/nos3.mtx;604;5972;0.001000;0.002000;254.000000;0.000000
HB/bcsstk05.mtx;121;1310;0.001000;0.001000;188.000000;0.003268
HB/can_144.mtx;121;784;0.001000;0.001000;22.000000;0.000000
HB/bcspwr05.mtx;411;1110;0.001000;0.001000;19.000000;0.001129
HB/can_634.mtx;630;6378;0.001000;0.002000;182.000000;0.000000
HB/bcspwr06.mtx;1365;3628;0.001000;0.002000;7.000000;0.000000
HB/1138_bus.mtx;1043;2662;0.001000;0.002000;24.000000;0.000000
HB/bcsstk24.mtx;887;12690;0.003000;0.004000;2632.000000;0.000000
HB/cegb2802.mtx;318;3534;0.004000;0.005000;3051.000000;0.005353
HB/nos1.mtx;159;314;0.001000;0.001000;4.000000;0.002110
HB/bcsstk27.mtx;223;1530;0.001000;0.001000;1064.000000;0.000000
HB/bcsstk10.mtx;457;3256;0.001000;0.002000;230.000000;0.000921
HB/bcsstk26.mtx;1290;13824;0.002000;0.003000;277.000000;0.000000
HB/dwt_193.mtx;190;3212;0.001000;0.001000;140.000000;0.002591
HB/dwt_245.mtx;239;1144;0.001000;0.001000;19.000000;0.002041
HB/lund_b.mtx;76;522;0.001000;0.001000;109.000000;0.003401
